Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (65),neutral,0.7559055118110236,0.8089887640449438,0.7815468113975577,356.0
MFCC CNN (65),sadness,0.6734177215189874,0.7348066298342542,0.702774108322325,362.0
MFCC CNN (65),surprise,0.9426229508196722,0.9126984126984127,0.9274193548387096,126.0
MFCC CNN (65),accuracy,0.747702589807853,0.747702589807853,0.747702589807853,0.747702589807853
MFCC CNN (65),macro avg,0.7665318742231134,0.7643004936210792,0.7639791760711382,2394.0
MFCC CNN (65),weighted avg,0.7479866574442868,0.747702589807853,0.7463107142609904,2394.0
MFCC CRNN (65),anger,0.8142857142857143,0.7661290322580645,0.7894736842105263,372.0
MFCC CRNN (65),disgust,0.7402597402597403,0.6951219512195121,0.7169811320754716,410.0
MFCC CRNN (65),fear,0.7378640776699029,0.6096256684491979,0.6676427525622255,374.0
MFCC CRNN (65),happiness,0.7222222222222222,0.6928934010152284,0.7072538860103627,394.0
MFCC CRNN (65),neutral,0.6895734597156398,0.8174157303370787,0.7480719794344473,356.0
MFCC CRNN (65),sadness,0.6152073732718893,0.7375690607734806,0.6708542713567839,362.0
MFCC CRNN (65),surprise,0.9224137931034483,0.8492063492063492,0.8842975206611571,126.0
MFCC CRNN (65),accuracy,0.7251461988304093,0.7251461988304093,0.7251461988304093,0.7251461988304093
MFCC CRNN (65),macro avg,0.7488323400755083,0.7382801704655587,0.7406536037587106,2394.0
MFCC CRNN (65),weighted avg,0.7315600912861757,0.7251461988304093,0.725391501143166,2394.0
MFCC CNN (96),anger,0.8547486033519553,0.8225806451612904,0.8383561643835616,372.0
MFCC CNN (96),disgust,0.7506361323155216,0.7195121951219512,0.7347447073474471,410.0
MFCC CNN (96),fear,0.7151162790697675,0.6577540106951871,0.6852367688022284,374.0
MFCC CNN (96),happiness,0.6773455377574371,0.751269035532995,0.7123947051744886,394.0
MFCC CNN (96),neutral,0.7479452054794521,0.7668539325842697,0.7572815533980582,356.0
MFCC CNN (96),sadness,0.6844919786096256,0.7071823204419889,0.6956521739130435,362.0
MFCC CNN (96),surprise,0.9105691056910569,0.8888888888888888,0.8995983935742972,126.0
MFCC CNN (96),accuracy,0.7451963241436925,0.7451963241436925,0.7451963241436925,0.7451963241436925
MFCC CNN (96),macro avg,0.7629789774678308,0.759148718346653,0.7604663523704464,2394.0
MFCC CNN (96),weighted avg,0.7472185554174006,0.7451963241436925,0.745548707640147,2394.0
MFCC CRNN (96),anger,0.7918781725888325,0.8387096774193549,0.814621409921671,372.0
MFCC CRNN (96),disgust,0.6262230919765166,0.7804878048780488,0.6948968512486428,410.0
MFCC CRNN (96),fear,0.7167235494880546,0.5614973262032086,0.6296851574212894,374.0
MFCC CRNN (96),happiness,0.8039867109634552,0.6142131979695431,0.6964028776978417,394.0
MFCC CRNN (96),neutral,0.7131147540983607,0.7331460674157303,0.7229916897506925,356.0
MFCC CRNN (96),sadness,0.6440677966101694,0.7348066298342542,0.6864516129032258,362.0
MFCC CRNN (96),surprise,0.9051724137931034,0.8333333333333334,0.8677685950413223,126.0
MFCC CRNN (96),accuracy,0.7167919799498746,0.7167919799498746,0.7167919799498746,0.7167919799498746
MFCC CRNN (96),macro avg,0.7430237842169275,0.7280277195790675,0.7304025991406693,2394.0
MFCC CRNN (96),weighted avg,0.7256594145828654,0.7167919799498746,0.7155602441891137,2394.0
MFCC CNN (128),anger,0.8567415730337079,0.8198924731182796,0.8379120879120879,372.0
MFCC CNN (128),disgust,0.7493540051679587,0.7073170731707317,0.7277289836888331,410.0
