Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (256),macro avg,0.7554930113251898,0.7508487991966284,0.7525978588737159,2394.0
MFCC CNN (256),weighted avg,0.7380016985309288,0.7355889724310777,0.7361935322812793,2394.0
MFCC CRNN (256),anger,0.831858407079646,0.7580645161290323,0.7932489451476793,372.0
MFCC CRNN (256),disgust,0.6636568848758465,0.7170731707317073,0.6893317702227433,410.0
MFCC CRNN (256),fear,0.735973597359736,0.5962566844919787,0.6587887740029542,374.0
MFCC CRNN (256),happiness,0.6643518518518519,0.7284263959390863,0.6949152542372882,394.0
MFCC CRNN (256),neutral,0.7432835820895523,0.699438202247191,0.7206946454413893,356.0
MFCC CRNN (256),sadness,0.6077981651376146,0.7320441988950276,0.6641604010025063,362.0
MFCC CRNN (256),surprise,0.9528301886792453,0.8015873015873016,0.8706896551724138,126.0
MFCC CRNN (256),accuracy,0.7105263157894737,0.7105263157894737,0.7105263157894737,0.7105263157894737
MFCC CRNN (256),macro avg,0.7428218110104989,0.7189843528601891,0.7274042064609963,2394.0
MFCC CRNN (256),weighted avg,0.7198195071228815,0.7105263157894737,0.7120294488406951,2394.0
MFCC CNN (257),anger,0.8297297297297297,0.8252688172043011,0.8274932614555256,372.0
MFCC CNN (257),disgust,0.7526595744680851,0.6902439024390243,0.7201017811704835,410.0
MFCC CNN (257),fear,0.6705202312138728,0.6203208556149733,0.6444444444444445,374.0
MFCC CNN (257),happiness,0.6962962962962963,0.7157360406091371,0.7058823529411765,394.0
MFCC CNN (257),neutral,0.7139107611548556,0.7640449438202247,0.7381275440976933,356.0
MFCC CNN (257),sadness,0.6417910447761194,0.712707182320442,0.675392670157068,362.0
MFCC CNN (257),surprise,0.9385964912280702,0.8492063492063492,0.8916666666666667,126.0
MFCC CNN (257),accuracy,0.727234753550543,0.727234753550543,0.727234753550543,0.727234753550543
MFCC CNN (257),macro avg,0.7490720184095755,0.7396468701734931,0.7433012458475797,2394.0
MFCC CNN (257),weighted avg,0.7297865243445799,0.727234753550543,0.7275792168412852,2394.0
